Entity,Year,Share of the population that was born in this country but now lives in another country.
Uzbekistan,2010,6.6241693
Uzbekistan,2015,6.3887887
Uzbekistan,2020,6.0587735
Vanuatu,1990,3.3218489
Vanuatu,1995,3.3366833
Vanuatu,2000,3.3747106
Vanuatu,2005,3.4709148
Vanuatu,2010,3.2563417
Vanuatu,2015,2.4899678
Vanuatu,2020,2.359108
Vatican,1990,1.312336
Vatican,1995,3.3419023
Vatican,2000,5.189873
Vatican,2005,13.784462
Vatican,2010,22.349936
Vatican,2015,39.240505
Vatican,2020,21.508034
Venezuela,1990,0.9448132
Venezuela,1995,1.1028363
Venezuela,2000,1.3134388
Venezuela,2005,1.6536003
Venezuela,2010,1.9709183
Venezuela,2015,2.3573701
Venezuela,2020,19.043985
Vietnam,1990,2.214463
Vietnam,1995,2.4593627
Vietnam,2000,2.7011898
Vietnam,2005,2.8344858
Vietnam,2010,2.9905787
Vietnam,2015,3.1393857
Vietnam,2020,3.484769
Wallis and Futuna,1990,47.005947
Wallis and Futuna,1995,49.07754
Wallis and Futuna,2000,50.357216
Wallis and Futuna,2005,49.782417
Wallis and Futuna,2010,58.844395
Wallis and Futuna,2015,91.55929
Wallis and Futuna,2020,105.96656
Western Africa,1990,2.7978334
Western Africa,1995,3.0590138
Western Africa,2000,2.7205057
Western Africa,2005,2.7813423
Western Africa,2010,2.6742983
Western Africa,2015,2.6799848
Western Africa,2020,2.627313
Western Asia,1990,7.4695854
Western Asia,1995,7.3301735
Western Asia,2000,7.0411506
Western Asia,2005,6.7625422
Western Asia,2010,6.910822
Western Asia,2015,8.418627
Western Asia,2020,9.040726
Western Europe,1990,3.475893
Western Europe,1995,3.5407991
Western Europe,2000,3.7475536
Western Europe,2005,4.0186944
Western Europe,2010,4.3727293
Western Europe,2015,4.370338
Western Europe,2020,4.678864
Western Sahara,1990,77.436966
Western Sahara,1995,65.38463
Western Sahara,2000,52.86582
Western Sahara,2005,30.00759
Western Sahara,2010,35.437504
Western Sahara,2015,35.325184
Western Sahara,2020,32.63389
World,1990,2.8717763
World,1995,2.807869
World,2000,2.8197405
World,2005,2.9264681
World,2010,3.1764956
World,2015,3.3599656
World,2020,3.5998123
Yemen,1990,3.8897736
Yemen,1995,3.2605028
Yemen,2000,3.0409205
Yemen,2005,3.1275475
Yemen,2010,3.7848783
Yemen,2015,4.1333117
Yemen,2020,4.3625274
Zambia,1990,1.0601294
Zambia,1995,1.548874
Zambia,2000,1.5380366
Zambia,2005,1.5308305
Zambia,2010,1.3432764
Zambia,2015,1.1610725
Zambia,2020,1.0917128
Zimbabwe,1990,1.9589243
Zimbabwe,1995,2.5238984
Zimbabwe,2000,2.962467
Zimbabwe,2005,4.1466055
Zimbabwe,2010,5.9431343
Zimbabwe,2015,8.448022
Zimbabwe,2020,8.365203
