Entity,Year,Share of the population that was born in this country but now lives in another country.
Central African Republic,2015,15.272599
Central African Republic,2020,16.909065
Central America,1990,6.0176516
Central America,1995,7.4573956
Central America,2000,9.036721
Central America,2005,9.5776615
Central America,2010,10.282578
Central America,2015,9.642677
Central America,2020,9.01595
Central Asia,1990,11.411734
Central Asia,1995,11.585404
Central Asia,2000,11.676296
Central Asia,2005,11.837316
Central Asia,2010,11.515461
Central Asia,2015,10.847011
Central Asia,2020,10.540243
Central and Southern Asia,1990,2.5084205
Central and Southern Asia,1995,2.1123376
Central and Southern Asia,2000,2.0436127
Central and Southern Asia,2005,2.0246627
Central and Southern Asia,2010,2.3140306
Central and Southern Asia,2015,2.4511132
Central and Southern Asia,2020,2.5427773
Chad,1990,5.6478934
Chad,1995,3.182467
Chad,2000,2.4660187
Chad,2005,2.0864487
Chad,2010,1.6936139
Chad,2015,1.3554631
Chad,2020,1.3533721
Channel Islands,1990,13.311344
Channel Islands,1995,10.890717
Channel Islands,2000,8.639913
Channel Islands,2005,9.76766
Channel Islands,2010,9.829199
Channel Islands,2015,9.957857
Channel Islands,2020,9.868917
Chile,1990,3.7140505
Chile,1995,3.4713283
Chile,2000,3.3371487
Chile,2005,3.3476772
Chile,2010,3.3514488
Chile,2015,3.439272
Chile,2020,3.3678226
China,1990,0.3595619
China,1995,0.40537012
China,2000,0.4560006
China,2005,0.55134815
China,2010,0.63665843
China,2015,0.7279264
China,2020,0.72681147
Colombia,1990,3.0485487
Colombia,1995,3.3386025
Colombia,2000,3.6183226
Colombia,2005,4.4173603
Colombia,2010,5.6476507
Colombia,2015,5.6789775
Colombia,2020,5.943596
Comoros,1990,9.737413
Comoros,1995,10.788945
Comoros,2000,12.999164
Comoros,2005,15.719273
Comoros,2010,15.822188
Comoros,2015,15.660345
Comoros,2020,17.344051
Congo,1990,4.0891232
Congo,1995,4.2724147
Congo,2000,4.3241715
Congo,2005,4.76458
Congo,2010,4.1675696
Congo,2015,4.2179794
Congo,2020,4.055152
Cook Islands,1990,96.09783
Cook Islands,1995,89.02905
Cook Islands,2000,108.603294
Cook Islands,2005,102.67436
Cook Islands,2010,111.76598
Cook Islands,2015,122.60395
Cook Islands,2020,120.16625
Costa Rica,1990,2.2210104
Costa Rica,1995,2.3968248
Costa Rica,2000,2.655659
Costa Rica,2005,2.7445548
Costa Rica,2010,2.8906767
Costa Rica,2015,2.851538
Costa Rica,2020,2.949306
Cote d'Ivoire,1990,3.0720327
Cote d'Ivoire,1995,3.1655326
Cote d'Ivoire,2000,3.2770898
Cote d'Ivoire,2005,3.987913
Cote d'Ivoire,2010,4.5770106
Cote d'Ivoire,2015,4.548236
Cote d'Ivoire,2020,4.356987
Croatia,1990,8.90936
Croatia,1995,15.924858
Croatia,2000,20.48364
Croatia,2005,19.165632
Croatia,2010,18.955086
Croatia,2015,19.047153
Croatia,2020,25.321756
Cuba,1990,7.88125
Cuba,1995,8.5796
Cuba,2000,9.417124
Cuba,2005,10.3032465
Cuba,2010,11.711728
Cuba,2015,13.296747
Cuba,2020,15.514784
Curacao,1990,1.4344249
Curacao,1995,1.9801222
Curacao,2000,2.859694
Curacao,2005,3.5485952
Curacao,2010,30.329515
Curacao,2015,3.903034
Curacao,2020,4.6380253
Cyprus,1990,22.745415
Cyprus,1995,19.087763
Cyprus,2000,16.279333
Cyprus,2005,14.982918
Cyprus,2010,14.692478
Cyprus,2015,14.348566
Cyprus,2020,14.346166
Czechia,1990,5.461297
Czechia,1995,5.988363
Czechia,2000,7.029903
Czechia,2005,7.331311
Czechia,2010,7.3974943
Czechia,2015,7.7327223
Czechia,2020,9.581751
Democratic Republic of Congo,1990,1.26116
Democratic Republic of Congo,1995,1.3464999
Democratic Republic of Congo,2000,1.8300049
Democratic Republic of Congo,2005,2.0641663
Democratic Republic of Congo,2010,2.0112555
Democratic Republic of Congo,2015,2.0620785
Democratic Republic of Congo,2020,2.045601
Denmark,1990,3.919654
Denmark,1995,3.969397
Denmark,2000,4.0770116
Denmark,2005,4.1400657
Denmark,2010,4.2040925
Denmark,2015,4.1632047
Denmark,2020,4.437431
Developed regions,1990,4.524304
Developed regions,1995,4.5313835
Developed regions,2000,4.5826454
Developed regions,2005,4.6767397
Developed regions,2010,4.906767
Developed regions,2015,4.982644
Developed regions,2020,5.483008
Djibouti,1990,0.89906216
Djibouti,1995,1.1047217
Djibouti,2000,1.2618854
Djibouti,2005,1.5304221
Djibouti,2010,1.6421208
Djibouti,2015,1.8565687
Djibouti,2020,1.8588018
Dominica,1990,57.5999
Dominica,1995,62.17565
Dominica,2000,69.31084
Dominica,2005,90.72967
Dominica,2010,103.81789
Dominica,2015,101.981026
Dominica,2020,108.61219
Dominican Republic,1990,6.420713
Dominican Republic,1995,8.530434
Dominican Republic,2000,10.499559
Dominican Republic,2005,11.14698
Dominican Republic,2010,12.216634
Dominican Republic,2015,14.14752
Dominican Republic,2020,14.828366
East Timor,1990,1.5262654
East Timor,1995,9.36242
East Timor,2000,16.773485
East Timor,2005,9.542572
East Timor,2010,3.2040656
East Timor,2015,3.1200526
East Timor,2020,3.002635
Eastern Africa,1990,3.9482715
Eastern Africa,1995,3.454038
Eastern Africa,2000,2.3625076
Eastern Africa,2005,2.0979178
Eastern Africa,2010,2.2174466
Eastern Africa,2015,2.5211737
Eastern Africa,2020,2.7003007
Eastern Asia,1990,0.5059103
Eastern Asia,1995,0.55761796
Eastern Asia,2000,0.615397
Eastern Asia,2005,0.7045153
Eastern Asia,2010,0.80152154
Eastern Asia,2015,0.87635946
Eastern Asia,2020,0.88314736
Eastern Europe,1990,7.9983797
Eastern Europe,1995,7.8105507
Eastern Europe,2000,7.8378468
Eastern Europe,2005,8.589828
Eastern Europe,2010,9.352553
Eastern Europe,2015,9.790598
Eastern Europe,2020,10.987338
Eastern and South-Eastern Asia,1990,0.8039192
Eastern and South-Eastern Asia,1995,0.91584146
Eastern and South-Eastern Asia,2000,1.0485606
Eastern and South-Eastern Asia,2005,1.2024844
Eastern and South-Eastern Asia,2010,1.4068995
Eastern and South-Eastern Asia,2015,1.5444506
Eastern and South-Eastern Asia,2020,1.6363653
Ecuador,1990,2.0917745
Ecuador,1995,2.8478756
Ecuador,2000,3.5200353
Ecuador,2005,7.135907
Ecuador,2010,7.6802893
Ecuador,2015,6.9749103
Ecuador,2020,6.392831
Egypt,1990,2.3549075
Egypt,1995,2.3935628
Egypt,2000,2.48185
Egypt,2005,2.3938763
Egypt,2010,3.125428
Egypt,2015,3.4086783
Egypt,2020,3.5281007
El Salvador,1990,23.564165
El Salvador,1995,16.577883
El Salvador,2000,16.118431
El Salvador,2005,18.485956
El Salvador,2010,21.622116
El Salvador,2015,23.91883
El Salvador,2020,24.653229
Equatorial Guinea,1990,8.62978
Equatorial Guinea,1995,9.342792
Equatorial Guinea,2000,9.886502
Equatorial Guinea,2005,9.577908
Equatorial Guinea,2010,8.943029
Equatorial Guinea,2015,10.007659
Equatorial Guinea,2020,9.178573
Eritrea,1990,7.553321
Eritrea,1995,17.024426
Eritrea,2000,22.312994
Eritrea,2005,10.588883
Eritrea,2010,10.357121
Eritrea,2015,18.68953
Eritrea,2020,22.63749
Estonia,1990,7.274256
Estonia,1995,9.042823
Estonia,2000,10.136508
Estonia,2005,11.072253
Estonia,2010,11.533117
Estonia,2015,14.377305
Estonia,2020,15.5767
Eswatini,1990,4.2774825
Eswatini,1995,3.2735026
Eswatini,2000,3.3931682
Eswatini,2005,4.353007
Eswatini,2010,6.4826584
Eswatini,2015,4.1878996
Eswatini,2020,4.3130975
Ethiopia,1990,3.5289547
Ethiopia,1995,1.431113
Ethiopia,2000,0.67329144
Ethiopia,2005,0.68639594
