Country,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore,2000_netMigration,2005_netMigration,2010_netMigration,2015_netMigration,2020_netMigration
Czechia,2.1457963,3.144227,3.7820194,3.928296,5.0510964,7.029903,7.331311,7.3974943,7.7327223,9.581751,7.11,7.51,7.69,7.96,7.71,-4.8841067,-4.1870840000000005,-3.6154749,-3.8044263,-4.530654600000001
Denmark,6.9465017,8.122599,9.015042,10.47474,12.388619,4.0770116,4.1400657,4.2040925,4.1632047,4.437431,8.25,8.12,7.99,8.2,8.15,2.8694901,3.982533299999999,4.8109494999999995,6.311535300000001,7.951188
Dominican Republic,4.1978245,4.1267033,4.0791564,5.3424077,5.565997,10.499559,11.14698,12.216634,14.14752,14.828366,6.56,6.48,7.26,7.42,7.21,-6.301734499999999,-7.020276699999999,-8.1374776,-8.805112300000001,-9.262369
Ecuador,1.1948705,1.3734646,2.4998345,2.3902817,4.4481344,3.5200353,7.135907,7.6802893,6.9749103,6.392831,5.95,5.93,6.06,6.2,6.3,-2.3251648,-5.762442399999999,-5.1804548,-4.5846286,-1.9446966000000003
El Salvador,0.53861034,0.59531164,0.6523739,0.6649517,0.6593536,16.118431,18.485956,21.622116,23.91883,24.653229,7.65,7.49,7.4,7.36,7.13,-15.579820660000001,-17.890644360000003,-20.969742099999998,-23.2538783,-23.9938754
Estonia,17.83361,17.239037,16.356844,14.799632,15.022325,10.136508,11.072253,11.533117,14.377305,15.5767,7.78,8.07,8.08,8.15,7.98,7.697102000000001,6.166784,4.823726999999998,0.422327000000001,-0.5543750000000003
Eswatini,3.3899856,3.240133,3.0649645,2.9303339,2.8321857,3.3931682,4.353007,6.4826584,4.1878996,4.3130975,7.05,6.67,5.28,5.52,5.2,-0.0031825999999997023,-1.1128739999999997,-3.4176939,-1.2575656999999998,-1.4809117999999994
Ethiopia,0.9231948,0.67383873,0.64895964,1.1520175,0.94422686,0.67329144,0.68639594,0.77623266,0.8355157,0.8229815,4.6,5.09,5.14,5.07,5.24,0.24990336000000002,-0.012557209999999985,-0.12727302000000007,0.31650179999999994,0.12124535999999997
Fiji,1.5682894,1.5133774,1.5534719,1.583064,1.5714312,16.264637,19.114393,21.354221,24.011087,26.087074,6.1,6.36,6.18,6.11,5.75,-14.696347600000001,-17.6010156,-19.800749099999997,-22.428023,-24.515642800000002
Finland,2.6253707,3.6541443,4.25811,5.744365,6.9675446,6.088355,5.7152658,5.439708,5.148995,5.629036,8.22,8.13,8.05,8.01,7.76,-3.4629843,-2.0611215,-1.1815980000000001,0.59537,1.3385086
France,10.6391735,11.023537,11.625381,12.223348,13.060238,2.6355817,2.8226643,3.112011,3.2880697,3.5878382,7.67,7.63,7.71,7.75,7.36,8.0035918,8.2008727,8.513370000000002,8.9352783,9.4723998
Gabon,17.456705,16.815216,16.675163,19.442827,18.719763,1.4687074,2.9741468,2.2739952,2.2115943,2.1742098,5.1,5.15,4.89,5.1,5.32,15.9879976,13.8410692,14.401167800000001,17.2312327,16.5455532
Georgia,1.7449287,1.6934282,1.7827833,1.9056056,1.9895843,22.168299,21.03301,19.651625,20.598757,21.58534,6.57,7.29,7.21,7.91,7.55,-20.423370300000002,-19.3395818,-17.8688417,-18.693151399999998,-19.595755699999998
Germany,11.0473385,11.52222,12.139833,12.496322,18.81322,3.9744618,4.2191386,4.5735188,4.4386754,4.60144,8.13,8.01,7.93,8.13,7.74,7.0728767,7.303081400000001,7.566314199999999,8.057646599999998,14.211780000000001
Ghana,0.9938404,1.4207518,1.3630801,1.4892491,1.5332052,2.5721815,3.0517614,3.0751166,3.2038727,3.2321494,5.43,6.2,6.55,6.19,6.32,-1.5783411000000003,-1.6310096000000003,-1.7120365,-1.7146235999999997,-1.6989442
Greece,10.031174,10.607823,12.134393,11.659987,12.860489,8.867315,7.729483,7.250947,7.6936135,10.443262,7.2,7.16,7.05,6.64,6.69,1.1638590000000004,2.8783399999999997,4.883445999999999,3.9663734999999996,2.4172269999999987
Guatemala,0.41301224,0.43688056,0.4537532,0.46055895,0.47060192,5.002221,5.625484,6.321746,6.879681,7.6382236,6.74,7.16,7.33,7.7,7.51,-4.58920876,-5.1886034400000005,-5.8679928,-6.4191220499999995,-7.16762168
Guinea,6.7964206,2.562345,1.7539153,1.107907,0.9246853,4.575065,4.442321,4.4727087,4.3160152,4.1940055,6.56,5.84,3.95,4.73,5.33,2.2213556,-1.8799759999999996,-2.7187934,-3.2081082,-3.2693202
Guinea-Bissau,1.7023154,1.5541317,1.4048967,1.2855693,0.9118404,6.464969,6.1598697,6.012467,5.649931,5.680392,4.29,5.07,4.85,5.36,5.36,-4.7626536,-4.605738,-4.6075703,-4.3643617,-4.7685516
Guyana,1.1530458,1.4565319,1.091763,1.1285676,3.9627035,48.499836,52.610313,58.608944,62.710102,55.738094,6.12,6.34,6.22,6.36,5.8,-47.3467902,-51.153781099999996,-57.517181,-61.5815344,-51.7753905
